Cultivar,Culture,Location,Pflanzen/Parzelle,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha,Dev_Staerkeertrag_median_plant,Dev_Staerkeertrag_median_ha
2877,47109,5541,16,23.9,23.9,0.00418410041841,211.0,211.0,0.00473933649289,315.1875,315.1875,0.00892325996431,14008.3333333,14008.3333333,0.00892325996431,-73.04375,-3246.38888889
2877,47110,5546,20,24.2,24.2,0.227272727273,180.5,180.5,0.0637119113573,221.5675,221.5675,0.286831326797,7385.58333333,7385.58333333,0.286831326797,26.7575,891.916666667
2877,47111,5540,16,33.8,33.8,0.0147928994083,200.0,200.0,0.07,422.0625,422.0625,0.0552643269658,18758.3333333,18758.3333333,0.0552643269658,-67.175,-2985.55555556
2877,47112,5542,20,42.85,42.85,0.00116686114352,205.5,205.5,0.0510948905109,440.2575,440.2575,0.0499310062861,19567.0,19567.0,0.0499310062861,-91.5025,-4066.77777778
2877,47114,5543,16,26.15,26.15,0.0210325047801,178.5,178.5,0.0364145658263,291.5125,291.5125,0.0153938510355,11778.2828283,11778.2828283,0.0153938510355,-78.559375,-3174.11616162
2877,47115,5539,20,29.1,29.1,0.00687285223368,187.0,187.0,0.00534759358289,272.075,272.075,0.00152531471102,12092.2222222,12092.2222222,0.00152531471102,-19.125,-850.0
2877,47117,5545,20,45.05,45.05,0.0199778024417,202.0,202.0,0.0,455.005,455.005,0.0199778024417,18384.040404,18384.040404,0.0199778024417,-102.36375,-4135.90909091
2878,47107,5544,20,30.55,30.55,0.126022913257,219.5,219.5,0.0205011389522,334.42,334.42,0.105795107948,13511.9191919,13511.9191919,0.105795107948,-20.8625,-842.929292929
2878,47109,5541,16,18.75,18.75,0.0133333333333,175.5,175.5,0.042735042735,205.78125,205.78125,0.0560364464692,9145.83333333,9145.83333333,0.0560364464692,36.3625,1616.11111111
2878,47110,5546,20,27.6,27.6,0.123188405797,163.0,163.0,0.00613496932515,225.11,225.11,0.129225711874,7503.66666667,7503.66666667,0.129225711874,23.215,773.833333333
