"Culture_ID"	"Plant_ID"	"Subspecies"	55	69	188	190	191
44443	989633	"[St.Kiebitz.n].4"			5.458	209	1.140722
44443	989634	"[St.Kiebitz.n].5"			6.618	207	1.369926
44443	989635	"[St.Kiebitz.n].6"			6.182	186	1.149852
44443	989636	"[St.Kiebitz.n].7"			6.946	213	1.479498
44443	989637	"[St.Kiebitz.n].8"			5.122	179	0.916838
44443	989638	"[St.Kolibri.n].1"			6.504	220	1.43088
44443	989639	"[St.Kolibri.n].2"			4.94	197	0.97318
44443	989640	"[St.Kolibri.n].3"			6.282	231	1.451142
44443	989641	"[St.Kolibri.n].4"			5.336	211	1.125896
44443	989642	"[St.Kolibri.n].5"			6.364	219	1.393716
44443	989643	"[St.Kolibri.n].6"			6.29	207	1.30203
44443	989644	"[St.Kolibri.n].7"			7.902	218	1.722636
44443	989645	"[St.Kolibri.n].8"			5.286	209	1.104774
44443	989646	"[St.Kormoran.n].1"			8.162	243	1.983366
44443	989647	"[St.Kormoran.n].2"			5.302	214	1.134628
44443	989648	"[St.Kormoran.n].3"			8.006	240	1.92144
44443	989649	"[St.Kormoran.n].4"			6.61	221	1.46081
44443	989650	"[St.Kormoran.n].5"			8.208	240	1.96992
44443	989651	"[St.Kormoran.n].6"			5.024	217	1.090208
44443	989652	"[St.Kormoran.n].7"			8.056	249	2.005944
44443	989653	"[St.Kormoran.n].8"			5.744	215	1.23496
44443	989654	"[St.Maxilla.n].1"			9.63	232	2.23416
44443	989655	"[St.Maxilla.n].2"			9.638	209	2.014342
44443	989656	"[St.Maxilla.n].3"			9.902	243	2.406186
44443	989657	"[St.Maxilla.n].4"			7	236	1.652
44443	989658	"[St.Maxilla.n].5"			8.708	224	1.950592
44443	989659	"[St.Maxilla.n].6"			7.546	210	1.58466
44443	989660	"[St.Maxilla.n].7"			9.182	238	2.185316
44443	989661	"[St.Maxilla.n].8"			7.39	217	1.60363
44443	989662	"[St.Pirol.n].1"			7.98	207	1.65186
