Culture_ID,Plant_ID,Subspecies,55_12,69_12,55_810,69_810,188,190,191
58243,1213992,[St.Pirol.n].123,181.2,,2.8807,0.788,,213.23162457,38.6375703722
58243,1213993,[St.Pirol.n].124,564.6,,2.6984,0.618,,168.711607175,95.2545734108
58243,1213994,[St.Pirol.n].125,539.7,,2.4077,0.686,,224.60621751,121.21997559
58243,1213995,[St.Pirol.n].126,470.4,,2.9615,0.571,,132.494698801,62.3255063161
58243,1213996,[St.Pirol.n].127,573.9,,3.2003,0.906,,222.785459519,127.856575218
58243,1213997,[St.Pirol.n].128,254.8,,2.7510,0.751,,212.678639404,54.1905173201
58243,1213998,[St.Pirol.n].129,15.01,,3.1925,0.851,,206.249255286,3.09580132184
58243,1213999,[St.Kolibri.n].118,229.8,,3.0355,0.895,,234.531341954,53.8953023809
58243,1214000,[St.Kolibri.n].119,170.8,,2.7264,0.561,,145.45284507,24.843345938
58243,1214001,[St.Kolibri.n].120,486.6,,2.7619,0.743,,208.704705203,101.555709552
58243,1214002,[St.Kolibri.n].121,441.2,,2.9955,0.957,,259.166218828,114.344135747
58243,1214003,[St.Kolibri.n].122,175.3,,2.7348,0.574,,149.574377505,26.2203883766
58243,1214004,[St.Kolibri.n].123,189.9,,2.8281,0.611,,155.733108695,29.5737173412
58243,1214005,[St.Kolibri.n].124,370.9,,3.2964,0.811,,185.712967722,68.8809397282
58243,1214006,[St.Kolibri.n].125,449.2,,2.5336,0.495,,135.06117114,60.669478076
58243,1214007,[St.Kolibri.n].126,476.4,,3.4350,1.067,,250.312909753,119.249070206
58243,1214008,[St.Kolibri.n].127,533.4,,2.9600,0.610,,145.768081081,77.7526944486
58243,1214009,[St.Kolibri.n].128,140.5,,2.5829,0.568,,159.594855511,22.4230771993
58243,1214010,[St.Kolibri.n].129,179.5,,2.6833,0.616,,169.255069169,30.3812849158
58243,1214011,[St.Ulme.n].124,97.1,,2.5914,0.836,,262.292541406,25.4686057705
58243,1214012,[St.Ulme.n].125,47.8,,2.9042,0.799,,214.805793472,10.2677169279
58243,1214013,[St.Ulme.n].126,103.3,,2.8764,0.812,,221.98431609,22.9309798521
58243,1214014,[St.Ulme.n].127,106.23,,2.4065,0.703,,231.812493455,24.6254411797
58243,1214015,[St.Ulme.n].128,54.1,,2.2275,0.669,,240.023700337,12.9852821882
58243,1214016,[St.Ulme.n].129,50.0,,2.5688,0.777,,242.162864217,12.1081432108
58243,1214017,[St.Ulme.n].130,143.7,,2.8215,0.767,,211.52821921,30.3966051004
58243,1214018,[St.Ulme.n].131,180.7,,3.7911,1.035,,212.694834138,38.4339565287
58243,1214019,[St.Ulme.n].132,188.9,,2.3207,0.834,,299.061326712,56.4926846159
58243,1214020,[St.Ulme.n].133,205.4,,3.2028,0.881,,214.758812164,44.1114600186
58243,1214021,[St.Ulme.n].134,63.8,,2.5710,0.655,,194.451683003,12.4060173756
58243,1214022,[St.Ulme.n].135,38.0,,2.6520,0.700,,203.63873454,7.73827191252
58243,1214023,[St.Kiebitz.n].118,198.6,,2.9335,0.633,,155.470194137,30.8763805555
58243,1214024,[St.Kiebitz.n].119,170.1,,2.9634,0.646,,157.679846055,26.821341814
58243,1214025,[St.Kiebitz.n].120,341.8,,3.0589,0.772,,192.065305927,65.6479215658
58243,1214026,[St.Kiebitz.n].121,326.0,,4.1173,0.873,,151.719156996,49.4604451807
58243,1214027,[St.Kiebitz.n].122,194.8,,2.8605,0.785,,214.114547632,41.7095138786
