culture,cultivar,aliquot,sample,C6,C6_log,Glu,Glu_log,Fru,Fru_log,Sac,Sac_log,treatment
46150,2862,1110084,863778,118.163505727,4.77206930710426,2.71102005005,0.997324966302533,3.94330189098,1.37201841574348,20.8666391731,3.03815167185401,171
46150,2866,1109700,863682,120.094479335,4.78827876079378,4.02936601955,1.39360904833511,6.97390272615,1.94217500008478,19.2169764009,2.95579407591706,172
46150,2855,1249768,863804,113.710832867,4.73365867209314,7.36508875914,1.99675110132059,8.83810651097,2.17907265811477,32.3654733804,3.4770922181967,171
46150,2873,1110716,865742,195.087922273,5.27345034039763,2.5716836066,0.944560784267251,4.14787678483,1.42259658520815,25.6753572981,3.24553167190474,171
46150,2871,1109840,863717,168.165870643,5.12495081757421,3.13395134854,1.14229462005456,5.48441485994,1.70191040798907,27.6571206509,3.31988322287517,170
46150,2865,1110328,863839,105.635936155,4.65999861787982,3.30903242946,1.19665582927223,5.67262702194,1.73565233000643,24.1874513296,3.18583395857506,171
46150,2875,1110856,865777,222.94468387,5.40692368629492,3.22901249512,1.17217636142489,3.89137403258,1.35876231700517,34.1530167753,3.53085092106976,170
46150,2860,1109968,863749,91.1017014941,4.51197648130445,10.3247883418,2.33454763905344,9.54848846651,2.25638286620759,25.1133009668,3.22339762477627,170
46150,2856,1110496,865687,217.391846945,5.38170147143097,2.86420118411,1.05228949247974,3.10970414275,1.13452759071735,40.5079881753,3.70149919355976,170
46150,2868,1110984,865809,154.258334744,5.03862869532247,2.45388390591,0.897672037064522,3.38466745642,1.21925566118974,25.4696226096,3.23748647182623,171
46150,2874,1110096,863781,103.507567032,4.6396447214532,3.86114976825,1.35096500654533,3.77899764552,1.32945880132402,20.5791067435,3.02427632535799,171
46150,2859,1109712,863685,143.304138937,4.96496921743865,1.80384409015,0.589919993376792,3.03373778798,1.10979545266285,22.9990121494,3.13545126498068,170
46150,2862,1110200,863807,97.7171626816,4.58207721078176,5.96346170893,1.78565113611046,7.01109687402,1.94749416156198,20.0662427774,2.99903893937372,172
46150,2873,1110728,865745,110.332834983,4.70350156992836,2.85413426385,1.04876856204411,4.44909164659,1.49269995098014,27.5340011336,3.31542164581167,172
48656,382,1105914,869234,138.310213424,4.9294990857198,1.68714252046,0.523036281595936,2.16300323135,0.771497640890287,8.11126211758,2.09325348087476,170
48656,382,1106042,869266,323.360922444,5.77876910633556,1.04680436797,0.0457420643533408,1.74467394661,0.55656768811551,8.91964555204,2.18825620948402,169
48656,2675,1105786,869202,26.7579200881,3.28683050757937,3.24476337331,1.1770424270997,4.80393538387,1.56943545364227,13.6322201463,2.61243611918632,169
48656,2673,1105926,869237,7.11239854085,1.96183953444385,6.72506863826,1.90584213186853,7.06557844273,1.95523488719827,12.2583529609,2.50620757897922,170
48656,2674,1106054,869269,246.061240936,5.50558045184454,3.99627061077,1.3853615789063,3.86595743868,1.35220937158948,9.59973701064,2.26173570337355,170
48656,2673,1105798,869205,11.9204168541,2.47825263200728,2.9632302634,1.08627997849802,3.70403782926,1.30942352981493,10.9063336084,2.38934368547303,169
48656,2673,1105938,869240,29.5166934192,3.38495598191379,3.37612031638,1.21672721483682,4.61545562239,1.52941058949338,12.0300996084,2.48741180995231,169
48656,382,1106066,869272,35.3725211001,3.56593527859921,1.84509001808,0.612528066589546,2.74618049203,1.0102110342571,9.54726811681,2.25625505250235,169
48656,382,1105810,869208,0.906374890975,-0.0983022715772445,0.366129893123,-1.00476710929944,1.0170274809,0.0168841382352711,7.18021401513,1.97132918973708,170
48656,2674,1105950,869243,49.9593839905,3.91121035512732,5.96547639194,1.78598891689399,8.16551023862,2.09991921542157,15.5483161279,2.74395234516686,169
48656,2673,1106078,869275,38.29,3.6451887654892,4.19691981696,1.43435087932264,5.63828621874,1.72958015740905,12.103238462,2.4934730582807,169
48656,2674,1105822,869211,1.67302464663,0.514633153892586,1.0727267547,0.0702037757663522,1.80218094789,0.58899756917819,8.77490485343,2.17189592637918,170
48656,2673,1105962,869246,7.76,2.04898233419513,2.04585798865,0.715817255858526,2.5777810657,0.9469289768223,12.438816571,2.52082195183724,170
48656,2675,1106090,869278,38.68,3.65532267058509,5.28854290066,1.66554276381887,5.88085970553,1.77170295964659,11.7405652395,2.46304995970602,169
48656,2675,1105834,869214,2.49733351463,0.915223568509832,2.16025259141,0.770225155326663,2.7308853514,1.00462586116364,12.7780978756,2.54773260184717,170
48656,2674,1105974,869249,71.1114831454,4.264248830736,1.98320358775,0.684713510808405,3.05743886444,1.11757759310209,10.039968163,2.30657394324262,169
48656,2674,1106102,869281,15.5278178996,2.74263311856971,3.32071298414,1.20017951413104,3.6076881803,1.28306717393674,11.1715344219,2.4133689735572,170
