Culture_ID,Plant_ID,Subspecies,55,69,163,164,188,225,190,191
44443,989556,[St.Jumbo.n].7,,,,,11.810000,,218.000000,2.574580
44443,989557,[St.Jumbo.n].8,,,,,7.074000,,202.000000,1.428948
44443,989558,[St.Logo.n].1,,,,,8.772000,,254.000000,2.228088
44443,989559,[St.Logo.n].2,,,,,6.342000,,234.000000,1.484028
44443,989560,[St.Logo.n].3,,,,,7.550000,,236.000000,1.781800
44443,989561,[St.Logo.n].4,,,,,5.838000,,258.000000,1.506204
44443,989562,[St.Logo.n].5,,,,,6.500000,,247.000000,1.605500
44443,989563,[St.Logo.n].6,,,,,4.846000,,229.000000,1.109734
44443,989564,[St.Logo.n].7,,,,,7.566000,,245.000000,1.853670
44443,989565,[St.Logo.n].8,,,,,5.056000,,243.000000,1.228608
44443,989566,[St.Maxi.n].1,,,,,9.062000,,206.000000,1.866772
44443,989567,[St.Maxi.n].2,,,,,6.832000,,189.000000,1.291248
44443,989568,[St.Maxi.n].3,,,,,9.170000,,217.000000,1.989890
44443,989569,[St.Maxi.n].4,,,,,7.640000,,192.000000,1.466880
44443,989570,[St.Maxi.n].5,,,,,8.602000,,217.000000,1.866634
44443,989571,[St.Maxi.n].6,,,,,6.620000,,194.000000,1.284280
44443,989572,[St.Maxi.n].7,,,,,9.518000,,197.000000,1.875046
44443,989573,[St.Maxi.n].8,,,,,7.788000,,186.000000,1.448568
44443,989574,[St.Power.n].1,,,,,8.556000,,251.000000,2.147556
44443,989575,[St.Power.n].2,,,,,6.080000,,227.000000,1.380160
44443,989576,[St.Power.n].3,,,,,9.376000,,251.000000,2.353376
44443,989577,[St.Power.n].4,,,,,7.156000,,217.000000,1.552852
44443,989578,[St.Power.n].5,,,,,7.058000,,241.000000,1.700978
44443,989579,[St.Power.n].6,,,,,7.154000,,225.000000,1.609650
44443,989580,[St.Power.n].7,,,,,6.754000,,228.000000,1.539912
44443,989581,[St.Power.n].8,,,,,7.000000,,220.000000,1.540000
44443,989582,[St.Sommergold.n].1,,,,,8.650000,,230.000000,1.989500
44443,989583,[St.Sommergold.n].2,,,,,6.820000,,217.000000,1.479940
44443,989584,[St.Sommergold.n].3,,,,,8.122000,,224.000000,1.819328
44443,989585,[St.Sommergold.n].4,,,,,6.732000,,205.000000,1.380060
44443,989586,[St.Sommergold.n].5,,,,,7.658000,,236.000000,1.807288
44443,989587,[St.Sommergold.n].6,,,,,5.700000,,207.000000,1.179900
